Quantity view,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,EthanolFermPlant,SodiumChloride,NitrogenFertiliser,AmmoniumNitrate,AmmoniumSulfate,Urea,Water,NeutralisingAgent,SodiumHydroxide,1-Butanol,SteamGrid,WasteTreatment,CHPPlant,ElectricityGrid,Sugar,Ammonia,Urea,Wastewater,ElectricityBiomass,SteamBiomass,Combustor,WasteTreatment2,Transport
Quantities,Quantities,Quantities,Quantities,Quantities,,0,,,,,,,,,,,,,,0,0,0,,,,0,0
,Ecoinvent,Ecoinvent,Ecoinvent,Ecoinvent,,0,,,,,,,,,,,,,,0,0,0,,,,0,0
,Economic quantities,Economic quantities,Economic quantities,Economic quantities,,0,,,,,,,,,,,,,,0,0,0,,,,0,0
,Environmental quantities,Environmental quantities,Environmental quantities,Environmental quantities,,0,,,,,,,,,,,,,,0,0,0,,,,0,0
,,"AADP, TU Berlin","AADP, TU Berlin","AADP, TU Berlin",,0,,,,,,,,,,,,,,0,0,0,,,,0,0
,,CML 2001 - Jan. 2016,CML 2001 - Jan. 2016,CML 2001 - Jan. 2016,,0,,,,,,,,,,,,,,,,,,,,,
,,Earlier versions of methods,Earlier versions of methods,Earlier versions of methods,,0,,,,,,,,,,,,,,,,,,,,,
,,EDIP 2003,EDIP 2003,EDIP 2003,,0,,,,,,,,,,,,,,,,,,,,,
,,EF 1.8,EF 1.8,EF 1.8,,0,,,,,,,,,,,,,,,,,,,,,
,,EPD EN 15804,EPD EN 15804,EPD EN 15804,,0,,,,,,,,,,,,,,,,,,,,,
,,EPS 2015d - Incl impacts from secondary particles,EPS 2015d - Incl impacts from secondary particles,EPS 2015d - Incl impacts from secondary particles,,0,,,,,,,,,,,,,,,,,,,,,
,,EPS 2015dx - Excl impacts from secondary particles,EPS 2015dx - Excl impacts from secondary particles,EPS 2015dx - Excl impacts from secondary particles,,0,,,,,,,,,,,,,,,,,,,,,
,,Impact 2002+,Impact 2002+,Impact 2002+,,0,,,,,,,,,,,,,,,,,,,,,
,,Impacts ILCD/PEF recommendation v1.09,Impacts ILCD/PEF recommendation v1.09,Impacts ILCD/PEF recommendation v1.09,,0,,,,,,,,,,,,,,,,,,,,,
,,IPCC AR5,IPCC AR5,IPCC AR5,,0,,,,,,,,,,,,,,,,,,,,,
,,Land use LANCA v2.3 2016,Land use LANCA v2.3 2016,Land use LANCA v2.3 2016,,,,,,,,,,,,,,,,,,,,,,,
,,NF EN 15804 Quantities,NF EN 15804 Quantities,NF EN 15804 Quantities,,,,,,,,,,,,,,,,,,,,,,,
,,Odour,Odour,Odour,,,,,,,,,,,,,,,,,,,,,,,
,,Primary energy,Primary energy,Primary energy,,,,,,,,,,,,,,,,,,,,,,,
,,ReCiPe 2016 v1.1,ReCiPe 2016 v1.1,ReCiPe 2016 v1.1,,,,,,,,,,,,,,,,,,,,,,,
,,,ReCiPe 2016 v1.1 (E),ReCiPe 2016 v1.1 (E),,,,,,,,,,,,,,,,,,,,,,,
,,,ReCiPe 2016 v1.1 (H),ReCiPe 2016 v1.1 (H),,,,,,,,,,,,,,,,,,,,,,,
,,,,Climate Change Incl Land Use Change (LUC),,,,,,,,,,,,,,,,,,,,,,,
,,,,Endpoint (H),,,,,,,,,,,,,,,,,,,,,,,
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Climate change, default, excl biogenic carbon [kg CO2 eq.]",7.41E+06,0.289,10.7,8.81,1.84,3.38,7.98E-06,1.29E+00,1.37,2.99E+00,1.05E-01,3.96E-02,7.54E-04,1.91E-01,3.22E-01,2.11,3.38,25.8,0.055,0.00259,0.00563,0.52,0.133
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Climate change, incl biogenic carbon [kg CO2 eq.]",7.46E+06,0.287,10.7,8.78E+00,1.83E+00,3.36E+00,8.58E-06,1.29E+00,1.37E+00,3.00E+00,1.05E-01,5.56E-01,7.27E-02,2.15E-01,-3.54E-01,2.11,3.36,25.9,0.091966371,0.00433462,0.133144972,1.27,0.133
