,,Impacts ILCD/PEF recommendation v1.09,Impacts ILCD/PEF recommendation v1.09,Impacts ILCD/PEF recommendation v1.09,,,,,,,,,,,,,,,,,,,,,,,
,,IPCC AR5,IPCC AR5,IPCC AR5,,,,,,,,,,,,,,,,,,,,,,,
,,Land use LANCA v2.3 2016,Land use LANCA v2.3 2016,Land use LANCA v2.3 2016,,,,,,,,,,,,,,,,,,,,,,,
,,NF EN 15804 Quantities,NF EN 15804 Quantities,NF EN 15804 Quantities,,,,,,,,,,,,,,,,,,,,,,,
,,Odour,Odour,Odour,,,,,,,,,,,,,,,,,,,,,,,
,,Primary energy,Primary energy,Primary energy,,,,,,,,,,,,,,,,,,,,,,,
,,ReCiPe 2016 v1.1,ReCiPe 2016 v1.1,ReCiPe 2016 v1.1,,,,,,,,,,,,,,,,,,,,,,,
,,,ReCiPe 2016 v1.1 (E),ReCiPe 2016 v1.1 (E),,,,,,,,,,,,,,,,,,,,,,,
,,,,Climate Change Incl Land Use Change (LUC),,,,,,,,,,,,,,,,,,,,,,,
,,,,Endpoint (E),,,,,,,,,,,,,,,,,,,,,,,
,,,,"ReCiPe 2016 v1.1 Midpoint (E) - Human toxicity, non-cancer [kg 1,4-DB eq.]",8673446439,217.9964816,2500.689721,1.26E+03,1.05E+03,7.54E+02,5.39E-03,3.95E+02,4.09E+02,4.66E+02,6.26E+00,5.22E+01,1.56E+00,2.50E+01,1.03E+02,250,754,2974.811768,37.63533052,1.773852469,4.46,1441.672116,24.97350438
,,,,ReCiPe 2016 v1.1 Midpoint (E) - Ionizing Radiation [Bq C-60 eq. to air],356079.0892,0.043549044,0.337808641,2.45E-01,8.83E-02,2.27E-01,8.70E-07,2.08E-01,2.33E-01,3.01E-01,4.34E-03,1.23E-03,1.25E-05,3.13E-02,1.90E-02,0.121,0.227,1.645528025,0.003890976,0.000183392,0.000795,0.001492536,0.013424028
,,,,ReCiPe 2016 v1.1 Midpoint (E) - Land use [Annual crop eq.·y],832620.9659,0.013460812,0.155517988,5.75E-02,7.14E-02,3.76E-02,4.78E-07,3.74E-02,3.59E-02,6.21E-02,5.32E-04,7.74E-04,4.51E-06,5.51E-02,1.86E+00,0.0127,0.0376,0.262556915,0.678655339,0.031986818,0.000100926,0.00098756,0.007305364
,,,,"ReCiPe 2016 v1.1 Midpoint (E) - Marine ecotoxicity [kg 1,4-DB eq.]",675132757.9,11.30779652,173.5347865,1.18E+02,4.53E+01,9.17E+01,4.96E-04,2.41E+01,2.49E+01,3.78E+01,1.35E+00,2.14E+00,5.54E-01,3.87E+00,2.19E+01,55.6,91.71547595,224.9933066,12.84806755,0.605563337,0.928939952,90.33667713,12.69853476
,,,,ReCiPe 2016 v1.1 Midpoint (E) - Marine Eutrophication [kg N eq.],316.7351786,4.37E-05,2.93E-04,3.50E-04,4.89E-05,1.64E-04,1.28E-09,7.63E-05,7.55E-05,5.89E-05,1.19E-06,1.22E-05,8.93E-09,9.26E-06,9.09E-04,4.56E-05,1.64E-04,0.196756892,1.31E-06,6.16E-08,1.79E-07,1.13E-05,1.28E-06
,,,,ReCiPe 2016 v1.1 Midpoint (E) - Metal depletion [kg Cu eq.],229871.6383,0.002516173,0.0399067,1.70E-02,1.66E-02,1.01E-02,2.89E-07,3.40E-03,3.40E-03,3.92E-03,2.87E-05,1.56E-04,5.19E-06,2.09E-04,2.22E-03,0.00394,0.010137897,0.035344095,0.000261201,1.23E-05,1.62E-05,0.000160723,0.000260323
,,,,"ReCiPe 2016 v1.1 Midpoint (E) - Photochemical Ozone Formation, Ecosystems [kg NOx eq.]",219097.5057,0.007151414,9.28E-02,5.22E-02,2.94E-02,2.49E-02,4.10E-06,1.35E-02,1.15E-02,1.68E-02,1.82E-04,1.30E+00,7.22E-05,7.06E-04,9.12E-03,0.008976857,0.02488268,0.19591309,0.001900299,8.96E-05,1.43E-04,2.801700592,0.001225151
,,,,"ReCiPe 2016 v1.1 Midpoint (E) - Photochemical Ozone Formation, Human Health [kg NOx eq.]",143468.9793,0.004745211,0.065045777,3.83E-02,1.95E-02,1.71E-02,2.55E-06,9.50E-03,8.33E-03,1.25E-02,1.68E-04,8.08E-01,6.77E-05,5.64E-04,6.48E-03,0.006509393,0.017135653,0.138566933,0.001740211,8.20E-05,1.30E-04,1.738446046,0.001017077
,,,,ReCiPe 2016 v1.1 Midpoint (E) - Stratospheric Ozone Depletion [kg CFC-11 eq.],2.854342432,1.75E-07,3.48E-04,3.21E-04,9.17E-07,1.65E-06,5.96E-12,1.38E-06,1.56E-06,1.16E-06,3.80E-08,8.97E-07,3.29E-08,1.07E-06,4.82E-06,9.57E-07,1.65E-06,6.91E-05,7.33E-07,3.45E-08,5.16E-08,8.29E-07,7.76E-08
,,,,ReCiPe 2016 v1.1 Midpoint (E) - Terrestrial Acidification [kg SO2 eq.],41428.61286,0.001487671,0.037022804,2.91E-02,1.01E-02,2.03E-02,4.67E-08,6.07E-03,6.01E-03,1.13E-02,3.83E-04,1.50E-04,4.96E-05,6.82E-04,5.70E-03,0.008730482,0.020272315,0.091013421,0.001187114,5.60E-05,6.37E-05,0.000187884,0.00044685
,,,,"ReCiPe 2016 v1.1 Midpoint (E) - Terrestrial ecotoxicity [kg 1,4-DB eq.]",144834460.7,2.585920013,3.94E+01,2.54E+01,1.03E+01,1.91E+01,1.06E-04,4.42E+00,4.42E+00,4.52E+00,5.36E-01,1.04E-01,7.03E-02,3.94E-01,2.84E+00,11.82333414,19.06114651,26.9365803,1.69683791,0.079976449,0.122573985,0.319017167,3.304977948
,,,ReCiPe 2016 v1.1 (H),ReCiPe 2016 v1.1 (H),0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0
,,,ReCiPe 2016 v1.1 (I),ReCiPe 2016 v1.1 (I),0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0
,,TRACI 2.1,TRACI 2.1,TRACI 2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,UBP 2013,UBP 2013,UBP 2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,USEtox 2.1,USEtox 2.1,USEtox 2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Water,Water,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SoFi quantities,SoFi quantities,SoFi quantities,SoFi quantities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Technical quantities,Technical quantities,Technical quantities,Technical quantities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
