,,EPS 2015dx - Excl impacts from secondary particles,EPS 2015dx - Excl impacts from secondary particles,EPS 2015dx - Excl impacts from secondary particles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Impact 2002+,Impact 2002+,Impact 2002+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Impacts ILCD/PEF recommendation v1.09,Impacts ILCD/PEF recommendation v1.09,Impacts ILCD/PEF recommendation v1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IPCC AR5,IPCC AR5,IPCC AR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Land use LANCA v2.3 2016,Land use LANCA v2.3 2016,Land use LANCA v2.3 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NF EN 15804 Quantities,NF EN 15804 Quantities,NF EN 15804 Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Odour,Odour,Odour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Primary energy,Primary energy,Primary energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ReCiPe 2016 v1.1,ReCiPe 2016 v1.1,ReCiPe 2016 v1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ReCiPe 2016 v1.1 (E),ReCiPe 2016 v1.1 (E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Climate Change Incl Land Use Change (LUC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Endpoint (E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ReCiPe 2016 v1.1 Midpoint (E) - Photochemical Ozone Formation, Ecosystems [kg NOx eq.]",219097.5057,0.007151414,9.28E-02,5.22E-02,2.94E-02,2.49E-02,4.10E-06,1.35E-02,1.15E-02,1.68E-02,1.82E-04,1.30E+00,7.22E-05,0.001115964,6.38E-04,2.99E-05,0.008976857,0.02488268,0.19591309,8.96E-05,1.90E-03,0.005285142,0.000173281,0.000284486,0.007313446,0.02918902,1.43E-04,2.801700592,0.001225151
,,,,"ReCiPe 2016 v1.1 Midpoint (E) - Photochemical Ozone Formation, Human Health [kg NOx eq.]",143468.9793,0.004745211,0.065045777,3.83E-02,1.95E-02,1.71E-02,2.55E-06,9.50E-03,8.33E-03,1.25E-02,1.68E-04,8.08E-01,6.77E-05,0.000946757,0.000551346,2.99E-05,0.006509393,0.017135653,0.138566933,8.20E-05,1.74E-03,0.003710882,0.000155291,0.000262562,0.005051581,0.019942227,1.30E-04,1.738446046,0.001017077
,,,,ReCiPe 2016 v1.1 Midpoint (E) - Stratospheric Ozone Depletion [kg CFC-11 eq.],2.854342432,1.75E-07,3.48E-04,3.21E-04,9.17E-07,1.65E-06,5.96E-12,1.38E-06,1.56E-06,1.16E-06,3.80E-08,8.97E-07,3.29E-08,3.75E-07,8.15E-06,1.05E-07,9.57E-07,1.65E-06,6.91E-05,3.45E-08,7.33E-07,1.79E-07,2.62E-08,2.34E-06,4.82E-07,2.77E-05,5.16E-08,8.29E-07,7.76E-08
,,,,ReCiPe 2016 v1.1 Midpoint (E) - Terrestrial Acidification [kg SO2 eq.],41428.61286,0.001487671,0.037022804,2.91E-02,1.01E-02,2.03E-02,4.67E-08,6.07E-03,6.01E-03,1.13E-02,3.83E-04,1.50E-04,4.96E-05,2.12E-03,9.61E-03,0.008461717,0.008730482,0.020272315,0.091013421,5.60E-05,1.19E-03,0.006261576,0.00020043,0.002398694,0.048951549,0.007046813,6.37E-05,0.000187884,0.00044685
,,,,"ReCiPe 2016 v1.1 Midpoint (E) - Terrestrial ecotoxicity [kg 1,4-DB eq.]",144834460.7,2.585920013,3.94E+01,2.54E+01,1.03E+01,1.91E+01,1.06E-04,4.42E+00,4.42E+00,4.52E+00,5.36E-01,1.04E-01,7.03E-02,0.336168135,1.80E-01,0.000126439,11.82333414,19.06114651,26.9365803,0.079976449,1.69683791,2.846336112,0.11009684,0.043359107,3.198864078,4.387693055,0.122573985,0.319017167,3.304977948
,,,ReCiPe 2016 v1.1 (H),ReCiPe 2016 v1.1 (H),0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,ReCiPe 2016 v1.1 (I),ReCiPe 2016 v1.1 (I),0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,TRACI 2.1,TRACI 2.1,TRACI 2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,UBP 2013,UBP 2013,UBP 2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,USEtox 2.1,USEtox 2.1,USEtox 2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Water,Water,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,SoFi quantities,SoFi quantities,SoFi quantities,SoFi quantities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,Technical quantities,Technical quantities,Technical quantities,Technical quantities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
